Address,Name of Property,Description,Link,Status
"2001 South First Street, Austin",Bruno,"42 micro apartments: studios, lofted studios and one-bedrooms ",https://bruno.storybuilt.com/,Partially constructed
"1907 Webberville Road, Austin",Charley,123 single-family,https://charley.storybuilt.com/,Local approval in place
"5107 Menchaca Road, Austin",Clementine,12 single-family,https://clementine.storybuilt.com/,Local approval in place
"900 South First Street, Austin",Frank Commercial,3 office/retail condo spaces on ground-floor of sold-out condos,https://www.storybuilt.com/cities/austin/frank/,Construction completed
"900 South Second Street, Austin",Frank West,29 single-family,https://frank.storybuilt.com/,"16 completed and sold, 6 partially complete,1 lot and 3 pads remaining"
"2211 Elm Franklin Avenue, Austin",George ,80 townhomes and 36 single-family,https://www.liveatgeorgeatx.com/,"Delivery had been expected in December, according to StoryBuilt's website"
"9601 White Rock Trail, Dallas",Goose Run,36 single-family,https://goose.storybuilt.com/,Local approval in place
"755 Springdale Road, Austin",Ellie-May,"Unspecified number of condos, townhomes and retail",https://elliemay.storybuilt.com/,"Unknown. StoryBuilt website lists it as ""coming soon"""
"507 West Commerce Street, Dallas",Jolene,"800 apartments, condos and townhomes, plus 65,000 square feet of commercial",https://design.storybuilt.com/project/jolene/,Planned
"1601 Kramer Lane, Austin",Kramer,Lot with vacant house where 36 multifamily units were planned,https://www.storybuilt.com/wp-content/uploads/sites/9/2022/08/Kramer-Offering-Summary.pdf,Not approved
"1204 Sarabeth Way, Austin",Lucy,27 single-family,https://www.storybuilt.com/2022/03/lucy-construction-updates/,"10 homes partially completed, has local approval"
"814 North Bluff Drive South, Austin",North Bluff,33 single-family and townhomes ,https://www.storybuilt.com/wp-content/uploads/2019/12/North-Bluff-Floorplan-Home-E.pdf,"18 completed and sold, 15 under construction."
"1690 I Avenue, Plano",Ruby,7 single-family,https://ruby.storybuilt.com/,Local approval in place
"2501 Thornton Road, Austin",Thornton Flats,103 apartments across three buildings,https://www.thorntonflats.com/contact,Completed around 2018
"1600 South First, Austin, Texas",Willa,59 condos and 8 office/retail spaces,https://www.storybuilt.com/cities/austin/willa/,"Construction completed, all condos sold. Net operating income reported as $994,000"
"425 West Main, Dallas",Unnamed,"11 acres where 59 townhomes, more than 450 apartments (some affordable), 19,000 square feet of retail and a park were plannned ",https://oakcliff.advocatemag.com/2021/12/the-park-at-west-main-storybuilt/,Local approval in place
"1268 Clifftop Lane, Dallas",Meridian,Single-family,https://www.storybuilt.com/cities/dallas/meridian/,One house under construction