Ownership entity,Address,# Units,Square feet,Market value,City,Year built
"TIDES AT EASTCHASE OWNER, LLC","6732 Kenwood Ave Dallas, TX 75214",340,"325,179","$37,500,000.00",Fort Worth,1984
"TIDES AT HIGHLAND MEADOWS, LLC","11333 Amanda Ln Dallas, TX 75238",350,"225,142","$25,723,080.00",Dallas,1983
"TIDES AT LAKE VILLAGE OWNER, LLC","4350 Point Blvd Garland, TX 75043",321,"276,984","$30,529,810.00",Garland,1983
"TIDES AT MEADOWBROOK OWNER, LLC","603 King George Dr, Fort Worth, TX 76112",154,"116,128","$19,073,871.00",Fort Worth,1984
"TIDES AT MUELLER OWNER, LLC","5700 Cameron Rd, Austin, TX 78723",180,"130,055","$30,000,000.00",Austin,1969
"TIDES AT NORTH ARLINGTON OWNER, LLC","707 Washington Dr, Arlington, TX 76011",436,"255,599","$33,670,387.00",Arlington,1978
"TIDES AT NORTH DALLAS OWNER, LLC","2201 Presidents Corner Dr, Arlington, TX 76011",232,"91,539","$12,629,613.00",Arlington,1978
"TIDES AT PARK43 OWNER, LLC","4343 Rosemeade Pkwy, Dallas, TX 75287",240,"230,657","$38,000,000.00",Dallas,1997
"TIDES AT PLANO TIC I, LLC","2501 Ohio Dr, Plano, TX 75093",167,"147,552","$29,088,171.00",Plano,1995
"TIDES AT ROYAL LANE NORTH OWNER, LLC","9505 Royal Ln, Dallas, TX 75243",340,"297,172","$32,500,000.00",Dallas,1977
"TIDES AT ROYAL LANE SOUTH OWNER, LLC","9450 Royal Ln, Dallas, TX 75243",117,"88,336","$10,355,000.00",Dallas,1978
"TIDES ON AVRIL OWNER, LLC","8841 Avril CT N, Fort Worth, TX 76116",176,"139,970","$14,900,000.00",Fort Worth,1977
"TIDES ON BOCA RATON NORTH OWNER, LLC","6136 Cardinal Wood CT, Fort Worth",200,"161,252","$16,900,000.00",Fort Worth,1977
"TIDES ON BOCA RATON SOUTH OWNER, LLC","5960 Boca Raton Blvd, Fort Worth, TX 76112",140,"114,549","$10,100,000.00",Fort Worth,1978
"TIDES ON CHADWICK OWNER, LLC","13900 Chadwick Pkwy, Roanoke, TX",264,"270,360","$42,034,060.00",Roanoke,2009
"TIDES ON COPPER CREEK OWNER, LLC","9815 Copper Creek Dr, Austin, TX 78729",636,"78,162",,,1986
"TIDES ON ESPERANZA OWNER, LLC","13352 Esperanza Rd, Dallas, TX 75240",370,"264,184","$28,750,000.00",Dallas,1975
"TIDES ON GREEN OAKS OWNER, LLC","723 Brentford Pl, Arlington, TX 76006",188,"160,842","$23,800,000.00",Arlington,1983
"TIDES ON HULEN OWNER, LLC","6351 Hulen Bend Blvd, Fort Worth, TX 76132",336,,,,1985
"TIDES ON LARGA OWNER, LLC","3330 Webb Chapel Ext, Dallas, TX 75220",320,"171,696","$20,000,000.00",Dallas,1982
"TIDES ON LAWLER EAST OWNER, LLC","13030 Audelia Rd, Dallas, TX 75243",220,,,,1984
"TIDES ON LEISURE OWNER, LLC","11515 Leisure Dr, Dallas, TX 75243",432,,,,1982
"TIDES ON MCCALLUM NORTH OWNER, LLC","7720 McCallum Blvd, Dallas, TX 75252",297,"175,904","$22,131,203.00",Dallas,1984
"TIDES ON MCCALLUM SOUTH OWNER, LLC","7760 McCallum Blvd, Dallas, TX 75252",322,"102,465","$15,332,788.00",Dallas,1988
"TIDES ON NORTH COLLINS OWNER, LLC","903 Ashford Ln, Arlington, TX 76006",296,"234,375","$36,100,000.00",Arlington,1983
"TIDES ON OAKLAND HILLS OWNER, LLC","6011 Oakland Hills Dr, Fort Worth, TX 76112",274,"222,978","$23,550,000.00",Fort Worth,1986
"TIDES ON OVERTON RIDGE OWNER, LLC","5401 Overton Ridge Blvd, Fort Worth, TX 76132",416,,,,1984
"TIDES ON PARK LANE OWNER, LLC","8780 Park Ln, Dallas, TX 75231",343,"211,265","$24,900,000.00",Dallas,1975
"TIDES ON POST OAK OWNER, LLC","3808 Post Oak Blvd, Euless, TX 76040",384,"268,444","$37,200,000.00",Euless,1983
"TIDES ON RANCHVIEW OWNER, LLC","8203 Ranchview Dr, Irving, TX 75063",357,"357,328","$55,500,000.00",Irving,1999
"TIDES ON RANDOL EAST OWNER, LLC","8951 Randol Mill Rd, Fort Worth, TX 76120",564,"511,639","69,600,000",Fort Worth,1984
"TIDES ON ROSEMEADE EAST OWNER, LLC","4141 Rosemeade Pkwy, Dallas, TX 75287",252,"150,567","$20,812,075.00",Dallas,1990
"TIDES ON TIMBERGLEN OWNER, LLC","3440 Timberglen Rd, Dallas, TX 75287",580,"232,590","$28,327,800.00",Dallas,1984
"TIDES ON TRINITY OWNER, LLC","3930 Accent Dr, Denton County, TX 75287",500,"556,534","$73,486,000.00",Denton,1999
"TIDES ON WESTCREEK OWNER, LLC","6776 Westcreek Dr, Fort Worth, TX 76133",272,"186,352","$24,900,000.00",Fort Worth,1985
Tides at Valley Ranch,"621 Cowboys Pkwy, Irving, TX",267,"273,124","$42,000,000",Irving,2001
Tides on Harwood,"8359 Harwood Rd, North Richland Hills, TX",424,"221,591","$32,008,203",North Richland Hills,1998
Tides at Woodhaven,"807 The Heights Dr, Fort Worth",332,,,Fort Worth,
Tides on Westchester,"620 W Westchester Pkwy, Grand Prairie, TX",316,"210,192","$33,356,960",Grand Prairie,1997
Tides at Bear Creek,"700 E Ash Ln, Euless, TX",256,"236,016","$46,550,000",Euless,1997
Tides at Lakewood,"7150 E Grand Ave, Dallas, TX ",252,"196,470","$29,967,300",Dallas,1986
Tides at South Lamar,"3622 Menchaca Rd, Austin, TX",217,"85,980","$22,490,000",Austin,1977
Tides at Lewisville,"201 E Round Grove Rd, Lewisville, TX",404,,,Lewisville,
Tides at Haverwood,"19002 Dallas Pkwy, Dallas, TX ",376,"336,488","$68,082,240",Dallas,1994
Tides at 5400,"5400 Boca Raton Blvd, Fort Worth, TX ",168,,,Fort Worth,
Tides at Midtown,"5383 Southern Blvd, Dallas, TX",228,"204,395","$37,400,000",Dallas,1998
Tides on North Plaza,"9200 N Plaza, Austin, TX",420,"158,968","$51,550,000",Austin,1981
Tides at Whispering Hills,"13015 Audelia Rd, Dallas, TX",314,"173,487","$24,995,000",Dallas,1982