Company name,Home city,Category,"Amount of space company vacated or plans to vacate, in sf","Amount of space company leased or subleased during same time period, in sf","Net decline in footprint, in sf","Address(es) of space company vacated or plans to vacate, in sf","Address(es) of space company leased or subleased during same time period, in sf",Date TRD wrote about downsizing plans,Link to story
Nektar Therapeutics ,San Francisco,"Office, life science",Almost 200K sf ,N/A,About 200K sf ,"450 Mission Bay Boulevard and 360 Third Street, San Francisco",N/A,04.27.2022,https://therealdeal.com/sanfrancisco/2022/04/27/nektar-therapeutics-looks-to-sublease-200k-sf-in-mission-bay/
Synopsys ,Sunnyvale ,Office ,About 170K sf,152K sf,18K sf ,"690 East Middlefield Road, Mountain View, upon the expiration of lease agreement with its landlord. Synopsys is subleasing the building to Waymo and has shifted employees from the property to its Sunnyvale campus.","675 Almanor Avenue, Sunnyvale ",04.28.2022,https://therealdeal.com/sanfrancisco/2022/04/28/waymo-grows-mountain-view-hq-on-170k-sf-office-sublease/
Sephora ,San Francisco,Office,309K sf ,286K sf ,23K sf,"425 and 525 Market Street, San Francisco ","350 Mission Street, San Francisco",01.14.2022,https://therealdeal.com/sanfrancisco/2022/01/14/sephora-takes-286k-sf-in-sf-citys-biggest-covid-era-office-lease/
Farella Braun + Martel,San Francisco,Office ,125K sf,40K sf,85K sf,"235 Montgomery Street, San Francisco","1 Bush Street, San Francisco",06.06.2022,https://therealdeal.com/sanfrancisco/2022/06/06/farella-braun-martel-to-downsize-hq-in-san-francisco/
Splunk ,San Francisco,Office,115K sf ,N/A,115K sf,"270 Brannan Street, San Francisco",N/A,05.09.2022,https://therealdeal.com/sanfrancisco/2022/05/09/splunk-vacates-sf-headquarters-trims-100k-sf-in-move-next-door/
Block ,N/A (no HQ address),Office,470K sf,N/A,470K sf,"1455 Market Street, San Francisco",N/A,06.16.2022,https://therealdeal.com/sanfrancisco/2022/06/16/block-to-pull-out-of-sfs-mid-market-after-delisting-hq/
Twilio,San Francisco,Office,"Three floors of offices. The company now occupies two floors in San Francisco's Rincon Center after previously leasing five, which contained about 241K sf of space combined. ",N/A,"Three floors of offices, exact square footage unknown","101 Spear Street, San Francisco. Twilio is not vacating the entire property but is instead downsizing to two floors of offices from five.",N/A,06.09.2022,https://therealdeal.com/sanfrancisco/2022/06/09/twilio-downsizes-san-francisco-hq-goes-remote-first/
Autodesk ,San Rafael,Office,117K sf ,N/A,117K sf,"300 Mission Street, San Francisco",N/A,01.12.2022,https://therealdeal.com/sanfrancisco/2022/01/12/autodesk-to-close-117k-sf-san-francisco-office-eight-months-after-opening-it/
Analog Devices,"Wilmington, Massachusetts",Office,About 330K sf,N/A,About 330K sf,"2555 and 2565 Augustine Drive, Santa Clara",N/A,06.06.2022,https://therealdeal.com/sanfrancisco/2022/06/06/pure-storage-takes-330k-sf-in-santa-clara-sublease/
State Bar of California,San Francisco,Office,250K sf,N/A,"To be determined. The State Bar plans to find a new space in the Bay Area, either through a purchase or a lease. ","180 Howard Street, San Francisco ",N/A,05.12.2022,https://therealdeal.com/sanfrancisco/2022/05/12/state-bar-to-sell-250k-sf-hq-building-in-san-francisco/
PayPal ,San Jose,Office ,About 80K sf,N/A,About 80K sf,"425 Market Street, San Francisco",N/A ,04.28.2022,https://therealdeal.com/sanfrancisco/2022/04/28/paypal-subsidiary-trades-office-in-dtsf-for-remote-work-san-jose-option/
Merrill (formerly Merrill Lynch),New York ,Office,About 102K sf,N/A,About 102K sf,"101 California Street, San Francisco",N/A,02.04.2022,https://therealdeal.com/sanfrancisco/2022/02/04/merrill-lynch-to-leave-the-san-francisco-building-its-called-home-for-more-than-20-years/
Onsemi ,Phoenix,Office,About 110K sf,92.5K sf,Almost 18K sf,"2975 and 3001 Stender Way, Santa Clara ","150 Rose Orchard Way, San Jose ",06.10.2022,https://therealdeal.com/sanfrancisco/2022/06/10/27b-chipmaker-signs-92k-sf-office-lease-in-north-san-jose/
Arm ,"Cambridge, England",Office,92.5K sf,N/A,92.5K sf,"150 Rose Orchard Way, San Jose",N/A,06.10.2022,https://therealdeal.com/sanfrancisco/2022/06/10/27b-chipmaker-signs-92k-sf-office-lease-in-north-san-jose/